pair,phd_candidate,supervisor,country,institute,subfield,doi,owner,position_author_supervisor,concern_methods_tools_devlpmnt_or_review,thesis_year,thesis_title,thesis_link,...14,dup,oa_status,issn,journal,publisher,publication_date_unpaywall
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1111/bjh.15962,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284932,NA,FALSE,bronze,"0007-1048,1365-2141",British Journal of Haematology,Wiley,2019-05-29
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.earlhumdev.2021.105381,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284932,NA,FALSE,hybrid,0378-3782,Early Human Development,Elsevier BV,2021-06-01
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1111/vox.13090,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284933,NA,FALSE,hybrid,"0042-9007,1423-0410",Vox Sanguinis,Wiley,2021-03-17
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajogmf.2021.100332,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284934,NA,FALSE,hybrid,2589-9333,American Journal of Obstetrics & Gynecology MFM,Elsevier BV,2021-05-01
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajog.2020.01.028,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284935,NA,FALSE,closed,0002-9378,American Journal of Obstetrics and Gynecology,Elsevier BV,2020-07-01
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajog.2020.07.041,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284936,NA,FALSE,hybrid,0002-9378,American Journal of Obstetrics and Gynecology,Elsevier BV,2021-02-01
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1002/uog.21882,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284937,NA,FALSE,green,"0960-7692,1469-0705",Ultrasound in Obstetrics & Gynecology,Wiley,2020-09-01
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1136/archdischild-2018-316762,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284938,NA,FALSE,closed,"1359-2998,1468-2052",Archives of Disease in Childhood - Fetal and Neonatal Edition,BMJ,2019-08-07
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1080/14767058.2019.1670800,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284939,NA,FALSE,hybrid,"1476-7058,1476-4954",The Journal of Maternal-Fetal & Neonatal Medicine,Informa UK Limited,2019-10-06
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.3390/jcm8081129,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284942,NA,FALSE,gold,2077-0383,Journal of Clinical Medicine,MDPI AG,2019-07-30
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.placenta.2017.02.023,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284943,NA,FALSE,hybrid,0143-4004,Placenta,Elsevier BV,2017-04-01
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.placenta.2017.07.008,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284944,NA,FALSE,closed,0143-4004,Placenta,Elsevier BV,2017-09-01
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.eclinm.2021.100725,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284944,NA,FALSE,gold,2589-5370,EClinicalMedicine,Elsevier BV,2021-02-01
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.62.4.3,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283451,NA,FALSE,gold,1552-5783,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2021-04-02
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1016/j.ajo.2020.09.009,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283452,NA,FALSE,hybrid,0002-9394,American Journal of Ophthalmology,Elsevier BV,2021-02-01
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1097/IAE.0000000000002719,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283453,NA,FALSE,hybrid,0275-004X,Retina,Ovid Technologies (Wolters Kluwer Health),2019-12-17
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11070979,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283454,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2019-07-13
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers11071004,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283455,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2019-07-18
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1007/s00417-019-04342-x,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283456,NA,FALSE,hybrid,"0721-832X,1435-702X",Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,2019-05-16
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1136/bjophthalmol-2018-312018,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283457,NA,FALSE,closed,"0007-1161,1468-2079",British Journal of Ophthalmology,BMJ,2018-05-18
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13174445,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283458,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2021-09-03
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers12123690,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283459,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2020-12-09
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13164020,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283460,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2021-08-10
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.3390/cancers13164146,supervisor,last,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283461,NA,FALSE,gold,2072-6694,Cancers,MDPI AG,2021-08-18
