pair,phd_candidate,supervisor,country,institute,subfield,doi,owner,position_author_supervisor,concern_methods_tools_devlpmnt_or_review,thesis_year,thesis_title,thesis_link,oa_status_unpaywall,issn,journal,publisher,publication_date_unpaywall,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements,downloaded,oa_status
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1111/bjh.15962,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284932,bronze,"0007-1048,1365-2141",British Journal of Haematology,Wiley,29/05/2019,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.earlhumdev.2021.105381,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284932,hybrid,0378-3782,Early Human Development,Elsevier BV,01/06/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1111/vox.13090,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284933,hybrid,"0042-9007,1423-0410",Vox Sanguinis,Wiley,17/03/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajogmf.2021.100332,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284934,hybrid,2589-9333,American Journal of Obstetrics & Gynecology MFM,Elsevier BV,01/05/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajog.2020.01.028,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284935,closed,0002-9378,American Journal of Obstetrics and Gynecology,Elsevier BV,01/07/2020,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajog.2020.07.041,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284936,hybrid,0002-9378,American Journal of Obstetrics and Gynecology,Elsevier BV,01/02/2021,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1002/uog.21882,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284937,green,"0960-7692,1469-0705",Ultrasound in Obstetrics & Gynecology,Wiley,01/09/2020,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1136/archdischild-2018-316762,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284938,closed,"1359-2998,1468-2052",Archives of Disease in Childhood - Fetal and Neonatal Edition,BMJ,07/08/2019,FALSE,NA,FALSE,NA,NA,TRUE,FALSE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1080/14767058.2019.1670800,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284939,hybrid,"1476-7058,1476-4954",The Journal of Maternal-Fetal & Neonatal Medicine,Informa UK Limited,06/10/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.3390/jcm8081129,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284942,gold,2077-0383,Journal of Clinical Medicine,MDPI AG,30/07/2019,FALSE,NA,FALSE,NA,NA,TRUE,TRUE
