"","pair","country","institute","subfield","doi","owner","position_author_supervisor","concern_methods_tools_devlpmnt_or_review","thesis_year","thesis_title","thesis_link","oa_status_unpaywall","issn","journal","publisher","publication_date_unpaywall","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","downloaded","oa_status","numbat","referenceid","dup","category_numbat_true_false","is_open_data_manually_verified","category","open_data_ever","open_data_numbat_ever"
"1",1,"the netherlands","leiden umc","neonatology","10.1016/j.earlhumdev.2021.105381","candidate","na","no",2022,"optimising neonatal management of haemolytic disease of the foetus and newborn","https://hdl.handle.net/1887/3284932","hybrid","0378-3782","Early Human Development","Elsevier BV","1/6/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"2",1,"the netherlands","leiden umc","neonatology","10.1111/vox.13090","candidate","na","no",2022,"optimising neonatal management of haemolytic disease of the foetus and newborn","https://hdl.handle.net/1887/3284933","hybrid","0042-9007,1423-0410","Vox Sanguinis","Wiley","17/03/2021",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"3",1,"the netherlands","leiden umc","neonatology","10.1016/j.ajogmf.2021.100332","candidate","na","no",2022,"optimising neonatal management of haemolytic disease of the foetus and newborn","https://hdl.handle.net/1887/3284934","hybrid","2589-9333","American Journal of Obstetrics & Gynecology MFM","Elsevier BV","1/5/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"4",1,"the netherlands","leiden umc","neonatology","10.1016/j.ajog.2020.01.028","candidate","na","no",2022,"optimising neonatal management of haemolytic disease of the foetus and newborn","https://hdl.handle.net/1887/3284935","closed","0002-9378","American Journal of Obstetrics and Gynecology","Elsevier BV","1/7/20",FALSE,NA,FALSE,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,1,0,0
"5",1,"the netherlands","leiden umc","neonatology","10.1111/bjh.15962","candidate","na","no",2022,"optimising neonatal management of haemolytic disease of the foetus and newborn","https://hdl.handle.net/1887/3284932","bronze","0007-1048,1365-2141","British Journal of Haematology","Wiley","29/05/2019",FALSE,NA,FALSE,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,1,0,0
"6",2,"the netherlands","leiden umc","cancer","10.1016/j.ajo.2020.09.009","candidate","na","no",2022,"new approaches to imaging and treatment of ocular melanoma","https://hdl.handle.net/1887/3283452","hybrid","0002-9394","American Journal of Ophthalmology","Elsevier BV","1/2/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,1,1
"7",2,"the netherlands","leiden umc","cancer","10.1097/IAE.0000000000002719","candidate","na","no",2022,"new approaches to imaging and treatment of ocular melanoma","https://hdl.handle.net/1887/3283453","hybrid","0275-004X","Retina","Ovid Technologies (Wolters Kluwer Health)","17/12/2019",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,1,1
"8",2,"the netherlands","leiden umc","cancer","10.1007/s00417-019-04342-x","candidate","na","no",2022,"new approaches to imaging and treatment of ocular melanoma","https://hdl.handle.net/1887/3283456","hybrid","0721-832X,1435-702X","Graefe's Archive for Clinical and Experimental Ophthalmology","Springer Science and Business Media LLC","16/05/2019",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,1,1
"9",2,"the netherlands","leiden umc","cancer","10.1167/iovs.62.4.3","candidate","na","no",2022,"new approaches to imaging and treatment of ocular melanoma","https://hdl.handle.net/1887/3283451","gold","1552-5783","Investigative Opthalmology & Visual Science","Association for Research in Vision and Ophthalmology (ARVO)","2/4/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,1,1
"10",2,"the netherlands","leiden umc","cancer","10.3390/cancers11070979","candidate","na","no",2022,"new approaches to imaging and treatment of ocular melanoma","https://hdl.handle.net/1887/3283454","gold","2072-6694","Cancers","MDPI AG","13/07/2019",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,1,1
"11",2,"the netherlands","leiden umc","cancer","10.3390/cancers11071004","candidate","na","no",2022,"new approaches to imaging and treatment of ocular melanoma","https://hdl.handle.net/1887/3283455","gold","2072-6694","Cancers","MDPI AG","18/07/2019",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,1,1
"12",2,"the netherlands","leiden umc","cancer","10.1136/bjophthalmol-2018-312018","candidate","na","no",2022,"new approaches to imaging and treatment of ocular melanoma","https://hdl.handle.net/1887/3283457","closed","0007-1161,1468-2079","British Journal of Ophthalmology","BMJ","18/05/2018",FALSE,NA,FALSE,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,2,1,1
"13",3,"the netherlands","leiden umc","cancer","10.1007/s00405-019-05348-1","candidate","na","no",2022,"management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma","https://hdl.handle.net/1887/3283523","hybrid","0937-4477,1434-4726","European Archives of Oto-Rhino-Laryngology","Springer Science and Business Media LLC","27/02/2019",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"14",3,"the netherlands","leiden umc","cancer","10.1007/s00405-018-5070-9","candidate","na","yes",2022,"management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma","https://hdl.handle.net/1887/3283524","hybrid","0937-4477,1434-4726","European Archives of Oto-Rhino-Laryngology","Springer Science and Business Media LLC","19/07/2018",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"15",3,"the netherlands","leiden umc","cancer","10.3390/cancers11091319","candidate","na","no",2022,"management of t1-t2 glottic carcinoma: with a specific focus on t2 glottic carcinoma","https://hdl.handle.net/1887/3283522","gold","2072-6694","Cancers","MDPI AG","6/9/19",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"16",4,"the netherlands","leiden umc","neonatology","10.1111/jth.15232","candidate","na","no",2022,"individualized prognosis in childhood immune thrombocytopenia","https://hdl.handle.net/1887/3281832","hybrid","1538-7933,1538-7836","Journal of Thrombosis and Haemostasis","Wiley","18/03/2021",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"17",4,"the netherlands","leiden umc","neonatology","10.1111/jth.15125","candidate","na","no",2022,"individualized prognosis in childhood immune thrombocytopenia","https://hdl.handle.net/1887/3281833","hybrid","1538-7933,1538-7836","Journal of Thrombosis and Haemostasis","Wiley","27/11/2020",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"18",4,"the netherlands","leiden umc","neonatology","10.1111/jth.14762","candidate","na","no",2022,"individualized prognosis in childhood immune thrombocytopenia","https://hdl.handle.net/1887/3281834","hybrid","1538-7933,1538-7836","Journal of Thrombosis and Haemostasis","Wiley","12/4/20",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"19",4,"the netherlands","leiden umc","neonatology","10.1182/bloodadvances.2019000068","candidate","na","no",2022,"individualized prognosis in childhood immune thrombocytopenia","https://hdl.handle.net/1887/3281835","gold","2473-9529,2473-9537","Blood Advances","American Society of Hematology","3/7/19",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"20",4,"the netherlands","leiden umc","neonatology","10.1016/j.thromres.2019.03.022","candidate","na","no",2022,"individualized prognosis in childhood immune thrombocytopenia","https://hdl.handle.net/1887/3281836","closed","0049-3848","Thrombosis Research","Elsevier BV","1/6/19",FALSE,NA,FALSE,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,1,0,0
"21",5,"the netherlands","leiden umc","alzheimer","10.1016/j.nbd.2022.105684","candidate","na","no",2022,"iron-immune interactions in alzheimer's disease","https://hdl.handle.net/1887/3307816","gold","0969-9961","Neurobiology of Disease","Elsevier BV","1/3/22",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,1,1
"22",5,"the netherlands","leiden umc","alzheimer","10.1016/j.stemcr.2022.04.006","candidate","na","no",2022,"iron-immune interactions in alzheimer's disease","https://hdl.handle.net/1887/3307817","gold","2213-6711","Stem Cell Reports","Elsevier BV","1/5/22",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,1,1
"23",6,"the netherlands","leiden umc","migraine","10.1111/head.14046","candidate","na","no",2022,"migraine biochemistry and visual snow","https://hdl.handle.net/1887/3281284","hybrid","0017-8748,1526-4610","Headache: The Journal of Head and Face Pain","Wiley","16/01/2021",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"24",6,"the netherlands","leiden umc","migraine","10.1111/ene.14914","candidate","na","no",2022,"migraine biochemistry and visual snow","https://hdl.handle.net/1887/3281285","hybrid","1351-5101,1468-1331","European Journal of Neurology","Wiley","12/5/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"25",7,"the netherlands","leiden umc","genetics","10.1111/bcp.14772","candidate","na","no",2022,"genetic and clinical pharmacology studies in gba1-associated parkinson's disease","https://hdl.handle.net/1887/3281326","hybrid","0306-5251,1365-2125","British Journal of Clinical Pharmacology","Wiley","2/3/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,0,0
"26",7,"the netherlands","leiden umc","genetics","10.1002/mds.28112","candidate","na","no",2022,"genetic and clinical pharmacology studies in gba1-associated parkinson's disease","https://hdl.handle.net/1887/3281328","hybrid","0885-3185,1531-8257","Movement Disorders","Wiley","2/7/20",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,0,0
"27",7,"the netherlands","leiden umc","genetics","10.1038/s41598-020-80564-y","candidate","na","no",2022,"genetic and clinical pharmacology studies in gba1-associated parkinson's disease","https://hdl.handle.net/1887/3281327","gold","2045-2322","Scientific Reports","Springer Science and Business Media LLC","8/1/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,0,0
"28",8,"the netherlands","leiden umc","obesity","10.1016/j.numecd.2021.05.012","candidate","na","no",2022,"obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations","https://hdl.handle.net/1887/3281239","hybrid","0939-4753","Nutrition, Metabolism and Cardiovascular Diseases","Elsevier BV","1/7/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"29",8,"the netherlands","leiden umc","obesity","10.1186/s13098-019-0503-1","candidate","na","no",2022,"obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations","https://hdl.handle.net/1887/3281238","gold","1758-5996","Diabetology & Metabolic Syndrome","Springer Science and Business Media LLC","7/1/20",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,1,0,0
"30",8,"the netherlands","leiden umc","obesity","10.1038/s41366-021-01014-x","candidate","na","no",2022,"obesity and metabolic syndrome: from clinical to public health perspectives: results from population-based studies of the dutch and indonesian populations","https://hdl.handle.net/1887/3281240","closed","0307-0565,1476-5497","International Journal of Obesity","Springer Science and Business Media LLC","6/11/21",FALSE,NA,FALSE,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,1,0,0
"31",9,"the netherlands","leiden umc","cancer","10.1016/j.msec.2020.111678","candidate","na","no",2022,"biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment","https://hdl.handle.net/1887/3280009","hybrid","0928-4931","Materials Science and Engineering: C","Elsevier BV","1/1/21",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,0,0
"32",9,"the netherlands","leiden umc","cancer","10.3390/pharmaceutics12020193","candidate","na","no",2022,"biological evaluations of nanocarriers to improve the effectiveness of colorectal cancer treatment","https://hdl.handle.net/1887/3280010","green","1999-4923","Pharmaceutics","MDPI AG","23/02/2020",FALSE,NA,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,2,0,0
