pair;phd_candidate;supervisor;country;institute;subfield;pmid;owner;position_author_supervisor;concern_methods_tools_devlpmnt_or_review;thesis_year;thesis_title;thesis_link;doi;oa_status;issn;journal;publisher;publication_date_unpaywall;is_open_data;open_data_category;is_open_code;open_data_statements;open_code_statements;downloaded;manual_check_code_th;manual_check_code_mh;identifier;assessment;trn;has_trn_secondary_id;has_trn_abstract;has_trn_ft
30;Renate M Hoogeveen;E.S.G. Kroes;Netherlands;Amsterdam UMC;vascular_biology;30922146;supervisor;last;no;2021;From targeting major cardiovascular players to precision medicine;https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be;10.1161/jaha.118.011662;gold;2047-9980;Journal of the American Heart Association;Ovid Technologies (Wolters Kluwer Health);02.04.2019;TRUE;supplement;FALSE;"an accompanying data s1 is available at https://www.ahajournals.org/doi/suppl/10.1161/jaha.118.011662 correspondence to: ulrich laufs md phd klinik und poliklinik fâ‚¬ur kardiologie universitâ‚¬atsklinikum leipzig liebigstrasse 20 04103 leipzig germany.;     full inclusion and exclusion criteria are provided in data s1.;     supplemental material  downloaded from http://ahajournals.org by on january 26 2022   data s1.";NA;TRUE;NA;NA;NULL;no_open_data;NCT02988115;TRUE;FALSE;FALSE
29;Bharath Sampadi;SilvÃƒÂ¨re van der Maarel;Netherlands;Leiden UMC;toxicology;30979860;supervisor;last;no;2021;Dose-dependent and compound-specific phospho-signalling responses after (geno)toxic treatment;https://hdl.handle.net/1887/3240142;10.1212/wnl.0000000000007456;green;0028-3878,1526-632X;Neurology;Ovid Technologies (Wolters Kluwer Health);12.04.2019;TRUE;general-purpose repository;TRUE;ngs bioinformatic analysis: variant identification sequence alignment was performed with the torrent mapping alignment program (github.com/iontorrent/tmap ion torrent for life technologies) which was developed speciï¬Åcally to analyze ion torrent data and included in the torrent suite v 5.0.;ngs bioinformatic analysis: variant identification sequence alignment was performed with the torrent mapping alignment program (github.com/iontorrent/tmap ion torrent for life technologies) which was developed speciï¬Åcally to analyze ion torrent data and included in the torrent suite v 5.0.;TRUE;code_reuse;code_reuse;NULL;no_open_data;NCT01970735;TRUE;TRUE;FALSE
17;Annelieke C Kruithof;Jacobus Burggraaf;Netherlands;Leiden UMC;drug_development;30371791;supervisor;last;no;2021;Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology;https://hdl.handle.net/1887/3247173;10.1210/jc.2018-01364;bronze;0021-972X,1945-7197;The Journal of Clinical Endocrinology & Metabolism;The Endocrine Society;26.10.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;2014-004561-24;TRUE;FALSE;FALSE
1;Sabrina T Wiebe;Gerd Mikus;Germany;Universitat Heidelberg;drug_development;31023150;supervisor;last;no;2020;Midazolam Microdosing and Population Pharmacokinetic Modelling to Assess CYP3A Drug-Drug Interactions in Early Clinical Development;http://archiv.ub.uni-heidelberg.de/volltextserver/29312/1/WIEBE_Doktorarbeit_Final.pdf;10.1177/0269216319843629;closed;0269-2163,1477-030X;Palliative Medicine;SAGE Publications;26.04.2019;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;DRKS00011753;TRUE;TRUE;TRUE
15;Elisabeth Olliges;Karin MeiÃƒÅ¸ner;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;medical_psychology;28258747;supervisor;last;no;2021;Suggestibility as well as Psychosocial and Physical Long-term Consequences in Patients with a History of Stress-induced Cardiomyopathy;https://edoc.ub.uni-muenchen.de/28381/2/Olliges_Elisabeth.pdf;10.1016/j.biopsych.2017.01.006;closed;0006-3223;Biological Psychiatry;Elsevier BV;01.11.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NCT01321840;TRUE;FALSE;FALSE
30;Renate M Hoogeveen;E.S.G. Kroes;Netherlands;Amsterdam UMC;vascular_biology;31422119;candidate;na;no;2021;From targeting major cardiovascular players to precision medicine;https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be;10.1016/j.jcmg.2019.06.022;closed;1936-878X;JACC: Cardiovascular Imaging;Elsevier BV;01.12.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NTR6650;TRUE;FALSE;FALSE
31;Marit Navis;R.M. van Elburg;Netherlands;Amsterdam UMC;epidemiology;31058782;supervisor;last;no;2021;From in vitro to in vivo models, and the impact of early life nutrition;https://hdl.handle.net/11245.1/856901ab-6b10-4e58-b5f6-4b222d3bb826;10.1097/mpg.0000000000002360;closed;0277-2116,1536-4801;Journal of Pediatric Gastroenterology & Nutrition;Ovid Technologies (Wolters Kluwer Health);01.07.2019;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NCT02536560;TRUE;FALSE;TRUE
6;Andreas Staudt;Ulrich John;Germany;Universitat Heidelberg;public_health;31783832;supervisor;last;no;2020;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1186/s12889-019-7931-6;gold;1471-2458;BMC Public Health;Springer Science and Business Media LLC;29.11.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NCT01291693;TRUE;TRUE;FALSE
23;Maria TiÃƒÂ_-Coma;Annemieke Geluk;Netherlands;Leiden UMC;bacteriology;29670618;supervisor;last;no;2021;Exploring host and pathogen biomarkers for leprosy;https://hdl.handle.net/1887/3229676;10.3389/fimmu.2018.00629;gold;1664-3224;Frontiers in Immunology;Frontiers Media SA;04.04.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NTR3087;TRUE;TRUE;FALSE
31;Marit Navis;R.M. van Elburg;Netherlands;Amsterdam UMC;epidemiology;31998285;supervisor;last;no;2021;From in vitro to in vivo models, and the impact of early life nutrition;https://hdl.handle.net/11245.1/856901ab-6b10-4e58-b5f6-4b222d3bb825;10.3389/fimmu.2019.02939;gold;1664-3224;Frontiers in Immunology;Frontiers Media SA;10.01.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NCT02536560;TRUE;TRUE;FALSE
