pair,phd_candidate,supervisor,country,institute,subfield,doi,owner,position_author_supervisor,concern_methods_tools_devlpmnt_or_review,thesis_year,thesis_title,thesis_link
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1111/bjh.15962,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284932
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.earlhumdev.2021.105381,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284932
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1111/vox.13090,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284933
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajogmf.2021.100332,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284934
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajog.2020.01.028,candidate,na,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284935
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.ajog.2020.07.041,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284936
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1002/uog.21882,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284937
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1136/archdischild-2018-316762,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284938
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1080/14767058.2019.1670800,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284939
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.3390/jcm8081129,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284942
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.placenta.2017.02.023,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284943
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.placenta.2017.07.008,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284944
1,isabelle ree,enrico lopriore,the netherlands,leiden umc,neonatology,10.1016/j.eclinm.2021.100725,supervisor,last,no,2022,optimising neonatal management of haemolytic disease of the foetus and newborn,https://hdl.handle.net/1887/3284944
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1167/iovs.62.4.3,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283451
2,niels brouwer,martine de jager,the netherlands,leiden umc,cancer,10.1016/j.ajo.2020.09.009,candidate,na,no,2022,new approaches to imaging and treatment of ocular melanoma,https://hdl.handle.net/1887/3283452
