referenceid	timestamp_started	timestamp_finished	pair	phd_candidate	supervisor	country	institute	subfield	pmid	owner	position_author_supervisor	concern_methods_tools_devlpmnt_or_review	thesis_year	thesis_title	thesis_link	doi	oa_status	issn	journal	publisher	publication_date_unpaywall	is_open_data	open_data_category	is_open_code	open_data_statements	open_code_statements	downloaded	open_methods_yn	unsure_explanation	type_of_open_methods_trial_registration_number	type_of_open_methods_preregistration	type_of_open_methods_protocol	type_of_open_methods_open_notebook	type_of_open_methods_open_code	type_of_open_methods_Other	link_open_methods	public_link_open_methods	additional_remarks
21	2022-02-15 07:22:50	2022-02-15 07:36:22	18	Iris Kramer	Marjanka Schmidt	Netherlands	Leiden UMC	cancer	34113011	supervisor	last	no	2021	Double trouble: exploring risk factors to better predict contralateral breast cancer	https://hdl.handle.net/1887/3247221	10.1038/s41436-021-01198-7	hybrid	1098-3600,1530-0366	Genetics in Medicine	Springer Science and Business Media LLC	10.06.2021	NA	NA	NA	NA	NA	FALSE	No	there is a &quot;supplementary methods&quot; file, which contains additional information	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
15	2022-02-15 07:26:33	2022-02-15 07:29:35	12	Olena Ivanova	Michael H?lscher	Germany	Ludwig-Maximilians-Universit	public_health	34328074	supervisor	last	no	2021	Formative research - an essential step in developing and adapting health interventions and policies in low- and lower-middle income countries	https://edoc.ub.uni-muenchen.de/28806/7/Ivanova_Olena.pdf	10.2807/1560-7917.es.2021.26.30.2100673	gold	1560-7917	Eurosurveillance	European Centre for Disease Control and Prevention (ECDC)	29.07.2021	NA	NA	NA	NA	NA	FALSE	Yes	paper refers to one protocol, but only for part of analysis (5)	NULL	NULL	1	NULL	NULL	NULL	https://www.protocols.io/view/ncov-2019-sequencing-protocol-bbmuik6w?version_warning=no&step=1	Yes	Parts are open
25	2022-02-15 07:29:45	2022-02-15 07:29:54	19	Koen T van Hamersveld	Rob G H H Nelissen	Netherlands	Leiden UMC	orthopedics	31986930	supervisor	last	no	2021	Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool	https://hdl.handle.net/1887/3245131	10.1080/02656736.2019.1710269	gold	0265-6736,1464-5157	International Journal of Hyperthermia	Informa UK Limited	01.01.2020	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
50	2022-02-15 07:30:01	2022-02-15 07:32:12	2	Christina Georgikou	Ingrid Herr	Germany	Universitat Heidelberg	cancer	31250356	supervisor	last	no	2020	Inhibition of pancreatic cancer progression by sulforaphane- mediated downregulation of miR30a-3p and sulforaphane derivatives	http://archiv.ub.uni-heidelberg.de/volltextserver/29102/7/Christina_Georgikou_Dissertation.pdf	10.1007/s10637-019-00826-z	hybrid	0167-6997,1573-0646	Investigational New Drugs	Springer Science and Business Media LLC	27.06.2019	FALSE		FALSE			TRUE	Yes	NULL	1	0	1	0	NULL	NULL	https://trialsjournal.biomedcentral.com/articles/10.1186/1745-6215-15-204 AND https://clinicaltrials.gov/ct2/show/NCT01879878?term=POUDER&draw=2&rank=1	Yes	NULL
107	2022-02-15 07:32:19	2022-02-15 07:34:39	8	Nicole Tonya Erickson	Volker Heinemann	Germany	Ludwig-Maximilians-Universit	cancer	27722750	supervisor	last	no	2021	Establishing patient-centered nutrition screening for German speaking oncology patients	https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf	10.1001/jamaoncol.2016.3797	green	2374-2437	JAMA Oncology	American Medical Association (AMA)	01.02.2017	FALSE		FALSE			TRUE	Yes	NULL	1	0	0	0	NULL	NULL	https://clinicaltrials.gov/ct2/show/NCT00154102	Yes	NULL
128	2022-02-15 07:34:48	2022-02-15 07:34:53	10	Anna Suraya	Dennis Nowak	Germany	Ludwig-Maximilians-Universit	public_health	31963324	candidate	na	no	2021	Asbestos exposure in lung cancer: a hospital-based case control study in Indonesia	https://edoc.ub.uni-muenchen.de/28904/1/Suraya_Anna.pdf	10.3390/ijerph17020591	gold	1660-4601	International Journal of Environmental Research and Public Health	MDPI AG	16.01.2020	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
142	2022-02-15 07:35:02	2022-02-15 07:35:06	13	Taylor A Breuniger	Jakob Linseisen	Germany	Ludwig-Maximilians-Universit	public_health	34091769	supervisor	last	no	2021	Habitual Diet, the Gut Microbiota, Fecal Metabolites and their Associations with Metabolic Diseases: Results from a Population-based Study	https://edoc.ub.uni-muenchen.de/28665/7/Breuninger_Taylor_A.pdf	10.1007/s10654-021-00764-2	hybrid	0393-2990,1573-7284	European Journal of Epidemiology	Springer Science and Business Media LLC	01.06.2021	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
146	2022-02-15 07:35:17	2022-02-15 07:38:06	13	Taylor A Breuniger	Jakob Linseisen	Germany	Ludwig-Maximilians-Universit	public_health	33726846	candidate	na	no	2021	Habitual Diet, the Gut Microbiota, Fecal Metabolites and their Associations with Metabolic Diseases: Results from a Population-based Study	https://edoc.ub.uni-muenchen.de/28665/7/Breuninger_Taylor_A.pdf	10.1186/s40168-020-00969-9	gold	2049-2618	Microbiome	Springer Science and Business Media LLC	16.03.2021	FALSE		FALSE			TRUE	No	NULL	0	0	0	0	NULL	NULL	NULL		NULL
148	2022-02-15 07:38:44	2022-02-15 07:47:13	14	Anna Rubinski	Michael Ewers	Germany	Ludwig-Maximilians-Universit	neuroscience	32043733	supervisor	last	no	2021	Effects of Amyloid and Tau Pathology on Brain Function and Cognition in Alzheimer's Disease	https://edoc.ub.uni-muenchen.de/28793/1/Rubinski_Anna.pdf	10.1002/alz.12032	hybrid	1552-5260,1552-5279	Alzheimer's & Dementia	Wiley	11.02.2020	FALSE		FALSE			TRUE	No	NULL	0	0	0	0	NULL	NULL	NULL		NULL
159	2022-02-15 07:41:10	2022-02-15 07:41:15	15	Elisabeth Olliges	Karin Mei	Germany	Ludwig-Maximilians-Universit	medical_psychology	32040139	supervisor	last	no	2021	Suggestibility as well as Psychosocial and Physical Long-term Consequences in Patients with a History of Stress-induced Cardiomyopathy	https://edoc.ub.uni-muenchen.de/28381/2/Olliges_Elisabeth.pdf	10.1001/jamapediatrics.2019.5856	green	2168-6203	JAMA Pediatrics	American Medical Association (AMA)	01.04.2020	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
